CM020215.1	220917696
CM020216.1	171127175
CM020217.1	128783069
CM020218.1	85472901
CM020219.1	72965497
CM020220.1	44348279
CM020221.1	41910591
CM020222.1	36875798
CM020223.1	30482833
CM020224.1	25215434
CM020225.1	25172789
CM020226.1	24748608
CM020227.1	24188801
CM020228.1	22543722
CM020229.1	19967178
CM020230.1	19134162
CM020231.1	17028469
CM020232.1	14700981
CM020233.1	13522813
CM020234.1	13182719
CM020235.1	10132503
CM020236.1	8625483
CM020237.1	8285203
CM020238.1	7920138
CM020239.1	7909060
CM020240.1	6567436
CM020241.1	6189342
CM020242.1	3591324
CM020243.1	2584745
CM020244.1	1031042
CM020245.1	611155
CM020247.1	34240104
CM020246.1	86708642
WNMK01000034.1	26303
WNMK01000035.1	25348
WNMK01000036.1	23163
WNMK01000037.1	22849
WNMK01000038.1	22045
WNMK01000039.1	21844
WNMK01000040.1	21581
WNMK01000041.1	21069
WNMK01000042.1	21126
WNMK01000043.1	20767
WNMK01000044.1	15875
WNMK01000045.1	1822
WNMK01000046.1	1471528
WNMK01000047.1	844648
WNMK01000048.1	811925
WNMK01000049.1	788739
WNMK01000050.1	578335
WNMK01000051.1	576617
WNMK01000052.1	496235
WNMK01000053.1	495873
WNMK01000054.1	429657
WNMK01000055.1	321407
WNMK01000056.1	245941
WNMK01000057.1	243284
WNMK01000058.1	147072
WNMK01000059.1	135752
WNMK01000060.1	119630
WNMK01000061.1	115899
WNMK01000062.1	114401
WNMK01000063.1	110890
WNMK01000064.1	87002
WNMK01000065.1	86219
WNMK01000066.1	84247
WNMK01000067.1	58843
WNMK01000068.1	54787
WNMK01000069.1	53648
WNMK01000070.1	52090
WNMK01000071.1	49914
WNMK01000072.1	46879
WNMK01000073.1	44402
WNMK01000074.1	43474
WNMK01000075.1	43435
WNMK01000076.1	43411
WNMK01000077.1	43326
WNMK01000078.1	42550
WNMK01000079.1	42277
WNMK01000080.1	40922
WNMK01000081.1	37742
WNMK01000082.1	37739
WNMK01000083.1	35154
WNMK01000084.1	34449
WNMK01000085.1	34353
WNMK01000086.1	32586
WNMK01000087.1	32589
WNMK01000088.1	31238
WNMK01000089.1	28751
WNMK01000090.1	27588
