50
KH4627	KH4627	MissingGeneType
KH9996	KH9996	MissingGeneType
KH3764	KH3764	MissingGeneType
KH1619	KH1619	MissingGeneType
KH1183	KH1183	MissingGeneType
KH3938	KH3938	MissingGeneType
KH180	KH180	MissingGeneType
KH842	KH842	MissingGeneType
KH10005	KH10005	MissingGeneType
KH5385	KH5385	MissingGeneType
KH10318	KH10318	MissingGeneType
KH6300	KH6300	MissingGeneType
KH2547	KH2547	MissingGeneType
KH7180	KH7180	MissingGeneType
KH10444	KH10444	MissingGeneType
KH5749	KH5749	MissingGeneType
KH647	KH647	MissingGeneType
KH9330	KH9330	MissingGeneType
KH2348	KH2348	MissingGeneType
KH4387	KH4387	MissingGeneType
KH5494	KH5494	MissingGeneType
KH10553	KH10553	MissingGeneType
KH8773	KH8773	MissingGeneType
KH1981	KH1981	MissingGeneType
KH2138	KH2138	MissingGeneType
KH1730	KH1730	MissingGeneType
KH9536	KH9536	MissingGeneType
KH492	KH492	MissingGeneType
KH1261	KH1261	MissingGeneType
KH9119	KH9119	MissingGeneType
KH7532	KH7532	MissingGeneType
KH7125	KH7125	MissingGeneType
KH6676	KH6676	MissingGeneType
KH8946	KH8946	MissingGeneType
KH7381	KH7381	MissingGeneType
KH2713	KH2713	MissingGeneType
KH4762	KH4762	MissingGeneType
KH3240	KH3240	MissingGeneType
KH2966	KH2966	MissingGeneType
KH6897	KH6897	MissingGeneType
KH8300	KH8300	MissingGeneType
KH4236	KH4236	MissingGeneType
KH8134	KH8134	MissingGeneType
KH5935	KH5935	MissingGeneType
KH8559	KH8559	MissingGeneType
KH7853	KH7853	MissingGeneType
KH3864	KH3864	MissingGeneType
KH6155	KH6155	MissingGeneType
KH5056	KH5056	MissingGeneType
KH1	KH1	MissingGeneType
