50
KH4627.1	142784560	142785510	142785510	1	1	0	0
KH9996.1	142794048	142795034	142785510	1	1	1	1
KH3764.1	142803206	142804165	142795034	1	1	2	2
KH1619.1	866330999	866331958	142804165	1	1	3	3
KH1183.1	866337739	866338665	866331958	2	1	4	4
KH3938.1	866345147	866346100	866338665	2	1	5	5
KH180.1	866348634	866349572	866346100	2	1	6	6
KH842.1	866359679	866360581	866349572	2	1	7	7
KH10005.1	866363364	866364305	866360581	2	1	8	8
KH5385.1	866372853	866373773	866364305	2	1	9	9
KH10318.1	866378164	866379150	866373773	2	1	10	10
KH6300.1	866384880	866385818	866379150	2	1	11	11
KH2547.1	866387593	866388513	866385818	2	1	12	12
KH7180.1	866395586	866396506	866388513	2	1	13	13
KH10444.1	1043544450	1043545736	866396506	2	1	14	14
KH5749.1	1043555827	1043556720	1043545736	2	1	15	15
KH647.1	1043563838	1043564833	1043556720	1	1	16	16
KH9330.1	1043728182	1043729204	1043564833	1	1	17	17
KH2348.1	1043734349	1043735311	1043729204	1	1	18	18
KH4387.1	1121631726	1121632637	1043735311	1	1	19	19
KH5494.1	1280053168	1280054067	1121632637	2	1	20	20
KH10553.1	1280095521	1280096609	1280054067	1	1	21	21
KH8773.1	1317644798	1317645766	1280096609	1	1	22	22
KH1981.1	1317651748	1317652752	1317645766	1	1	23	23
KH2138.1	1317656382	1317657380	1317652752	1	1	24	24
KH1730.1	1317660096	1317661040	1317657380	1	1	25	25
KH9536.1	1317673355	1317674335	1317661040	2	1	26	26
KH492.1	1317677056	1317677946	1317674335	2	1	27	27
KH1261.1	1317690707	1317691591	1317677946	2	1	28	28
KH9119.1	1317701661	1317702575	1317691591	1	1	29	29
KH7532.1	1317713273	1317714145	1317702575	2	1	30	30
KH7125.1	1317714928	1317715800	1317714145	2	1	31	31
KH6676.1	1317718802	1317719674	1317715800	2	1	32	32
KH8946.1	1317722895	1317723803	1317719674	2	1	33	33
KH7381.1	1317726479	1317727369	1317723803	2	1	34	34
KH2713.1	1317739328	1317740245	1317727369	1	1	35	35
KH4762.1	1317750054	1317750935	1317740245	2	1	36	36
KH3240.1	1317753786	1317754673	1317750935	2	1	37	37
KH2966.1	1317756636	1317757523	1317754673	2	1	38	38
KH6897.1	1317759660	1317760547	1317757523	2	1	39	39
KH8300.1	1317767992	1317768882	1317760547	2	1	40	40
KH4236.1	1317770682	1317771566	1317768882	2	1	41	41
KH8134.1	1317773326	1317774210	1317771566	2	1	42	42
KH5935.1	1317776854	1317777738	1317774210	2	1	43	43
KH8559.1	1317780746	1317781630	1317777738	2	1	44	44
KH7853.1	1317785840	1317786706	1317781630	2	1	45	45
KH3864.1	1317791788	1317792744	1317786706	2	1	46	46
KH6155.1	1317795948	1317796889	1317792744	2	1	47	47
KH5056.1	1317800135	1317801022	1317796889	2	1	48	48
KH1.1	1319727130	1319728077	1317801022	1	1	49	49
