50
142784560	142785510	1	0	0
142794048	142795034	1	1	1
142803206	142804165	1	2	2
866330999	866331958	1	3	3
866337739	866338665	2	4	4
866345147	866346100	2	5	5
866348634	866349572	2	6	6
866359679	866360581	2	7	7
866363364	866364305	2	8	8
866372853	866373773	2	9	9
866378164	866379150	2	10	10
866384880	866385818	2	11	11
866387593	866388513	2	12	12
866395586	866396506	2	13	13
1043544450	1043545736	2	14	14
1043555827	1043556720	2	15	15
1043563838	1043564833	1	16	16
1043728182	1043729204	1	17	17
1043734349	1043735311	1	18	18
1121631726	1121632637	1	19	19
1280053168	1280054067	2	20	20
1280095521	1280096609	1	21	21
1317644798	1317645766	1	22	22
1317651748	1317652752	1	23	23
1317656382	1317657380	1	24	24
1317660096	1317661040	1	25	25
1317673355	1317674335	2	26	26
1317677056	1317677946	2	27	27
1317690707	1317691591	2	28	28
1317701661	1317702575	1	29	29
1317713273	1317714145	2	30	30
1317714928	1317715800	2	31	31
1317718802	1317719674	2	32	32
1317722895	1317723803	2	33	33
1317726479	1317727369	2	34	34
1317739328	1317740245	1	35	35
1317750054	1317750935	2	36	36
1317753786	1317754673	2	37	37
1317756636	1317757523	2	38	38
1317759660	1317760547	2	39	39
1317767992	1317768882	2	40	40
1317770682	1317771566	2	41	41
1317773326	1317774210	2	42	42
1317776854	1317777738	2	43	43
1317780746	1317781630	2	44	44
1317785840	1317786706	2	45	45
1317791788	1317792744	2	46	46
1317795948	1317796889	2	47	47
1317800135	1317801022	2	48	48
1319727130	1319728077	1	49	49
